root,subpath_2,subpath_3,subpath_4,file,index,code,comments,docstring,none,total
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,msi,,show.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/msi/show.py,22,0,0,8,30
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,variant,,update.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/variant/update.py,129,5,10,23,167
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,variant,,show.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/variant/show.py,148,4,0,30,182
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,variant,,_report_form.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/variant/_report_form.py,149,4,0,25,178
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,variant,,add.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/variant/add.py,78,1,3,12,94
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,variant,,mark_fp.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/variant/mark_fp.py,107,0,3,23,133
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,variant,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/variant/__init__.py,0,0,0,0,0
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,variant,,compare.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/variant/compare.py,74,1,0,14,89
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,gvi,,update.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/gvi/update.py,175,5,9,30,219
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,gvi,,show.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/gvi/show.py,92,0,3,15,110
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,gvi,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/gvi/__init__.py,0,0,0,0,0
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,qc,,update.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/qc/update.py,59,1,0,10,70
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,qc,,show.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/qc/show.py,22,0,0,7,29
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,qc,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/qc/__init__.py,7,0,0,4,11
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,cfg,,,schedule_cfg.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/cfg/schedule_cfg.py,1,0,3,4,8
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,cfg,,,variant_cfg.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/cfg/variant_cfg.py,156,15,0,26,197
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,cfg,,,gvi_cfg.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/cfg/gvi_cfg.py,32,0,0,5,37
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,cfg,,,qc_cfg.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/cfg/qc_cfg.py,1,0,0,0,1
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,cfg,,,error_cfg.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/cfg/error_cfg.py,29,0,0,1,30
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,cfg,,,lock_cfg.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/cfg/lock_cfg.py,3,0,0,2,5
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,cfg,,,db_user_cfg.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/cfg/db_user_cfg.py,3,0,0,1,4
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,cfg,,,email_cfg.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/cfg/email_cfg.py,3,0,0,1,4
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,cfg,,,db_cfg.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/cfg/db_cfg.py,34,0,0,7,41
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,cfg,,,sql.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/cfg/sql.py,46,0,1,1,48
